student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,screentime_study_ratio,sleep_study_ratio,exercise_study_ratio
S1039,19,Male,5.5,3.1,2.3,No,71.3,5.7,Good,1,High School,Average,3,No,82.3,0.9818181818181819,1.0363636363636364,0.18181818181818182
S1040,19,Female,3.7,4.7,2.0,No,98.8,8.5,Good,6,Bachelor,Good,2,No,69.7,1.8108108108108107,2.2972972972972974,1.6216216216216215
S1041,23,Female,2.9,2.3,2.3,No,86.2,7.2,Good,6,Bachelor,Average,1,No,66.0,1.586206896551724,2.4827586206896552,2.0689655172413794
S1042,18,Male,3.7,3.4,2.0,No,88.9,6.8,Fair,3,High School,Poor,1,Yes,63.5,1.4594594594594594,1.8378378378378377,0.8108108108108107
S1043,24,Female,4.3,0.9,3.2,No,62.8,7.1,Poor,0,Bachelor,Good,2,No,65.7,0.9534883720930234,1.6511627906976745,0.0
S1044,20,Female,3.6,1.4,0.8,No,73.0,5.3,Good,4,High School,Poor,9,No,78.5,0.6111111111111112,1.472222222222222,1.1111111111111112
S1045,20,Male,3.6,3.1,1.1,No,93.9,8.4,Fair,1,Bachelor,Average,5,Yes,75.1,1.1666666666666667,2.3333333333333335,0.2777777777777778
S1046,24,Male,2.4,4.3,1.0,No,87.9,8.9,Poor,5,High School,Average,9,Yes,71.0,2.2083333333333335,3.7083333333333335,2.0833333333333335
S1047,23,Female,2.5,2.9,2.7,No,83.5,7.0,Good,4,,Good,8,Yes,59.7,2.2399999999999998,2.8,1.6
S1048,22,Female,1.4,2.1,2.8,No,90.6,8.4,Fair,3,Bachelor,Good,6,No,52.6,3.5000000000000004,6.000000000000001,2.142857142857143
S1049,22,Female,6.1,2.5,2.3,No,100.0,5.8,Poor,5,High School,Average,1,No,96.5,0.7868852459016393,0.9508196721311476,0.819672131147541
S1050,23,Female,1.6,1.0,3.1,No,82.8,5.5,Fair,4,Master,Good,10,Yes,62.0,2.5624999999999996,3.4375,2.5
S1051,22,Female,2.5,3.2,0.5,No,85.7,6.5,Poor,0,High School,Average,5,No,59.7,1.48,2.6,0.0
S1052,19,Female,2.4,3.6,3.6,No,86.9,7.0,Fair,6,High School,Average,1,No,48.4,3.0,2.916666666666667,2.5
S1053,20,Female,4.8,2.0,3.5,No,100.0,6.0,Good,0,Bachelor,Good,7,Yes,70.6,1.1458333333333335,1.25,0.0
S1054,23,Female,3.1,1.9,2.6,Yes,64.0,7.1,Fair,5,High School,Good,10,No,68.1,1.4516129032258065,2.290322580645161,1.6129032258064515
S1055,20,Male,5.4,2.8,3.8,No,91.8,6.9,Good,2,High School,Good,8,No,87.2,1.222222222222222,1.2777777777777777,0.37037037037037035
S1056,24,Male,2.5,2.0,0.0,No,83.9,5.3,Good,6,Bachelor,Average,8,No,66.7,0.8,2.12,2.4
S1057,17,Male,3.9,2.4,1.2,No,90.7,7.1,Good,1,Bachelor,Average,7,Yes,75.2,0.923076923076923,1.8205128205128205,0.25641025641025644
S1058,19,Female,2.2,5.0,1.0,No,78.4,7.5,Poor,5,Master,Average,2,Yes,46.4,2.727272727272727,3.4090909090909087,2.2727272727272725
S1059,21,Female,6.7,2.2,2.6,No,84.5,6.7,Good,3,Master,Average,5,Yes,97.1,0.7164179104477613,1.0,0.44776119402985076
S1060,19,Female,1.7,2.1,0.6,Yes,92.1,7.9,Fair,1,High School,Average,4,No,61.2,1.5882352941176472,4.647058823529412,0.5882352941176471
S1061,23,Male,4.0,1.7,2.6,No,100.0,5.0,Fair,4,Bachelor,Good,5,No,75.0,1.075,1.25,1.0
S1062,21,Male,4.5,3.4,3.3,Yes,93.1,7.1,Good,6,High School,Good,10,No,94.7,1.4888888888888887,1.5777777777777777,1.3333333333333333
S1063,17,Male,4.1,2.3,2.6,Yes,76.5,5.1,Fair,3,Bachelor,Average,9,No,77.6,1.1951219512195124,1.2439024390243902,0.7317073170731708
S1064,23,Male,3.2,1.7,2.1,No,80.8,5.2,Good,3,High School,Poor,4,Yes,68.6,1.1874999999999998,1.625,0.9375
S1065,18,Female,3.3,4.1,0.7,No,80.5,5.7,Poor,0,Master,Good,8,No,69.6,1.4545454545454546,1.7272727272727275,0.0
S1066,20,Male,3.6,4.2,0.9,No,67.0,5.4,Good,4,Bachelor,Average,8,No,66.5,1.4166666666666667,1.5,1.1111111111111112
S1067,17,Male,3.3,1.8,3.2,No,81.7,5.8,Poor,0,Master,Good,2,No,62.2,1.5151515151515151,1.7575757575757576,0.0
S1068,20,Female,4.9,0.3,2.7,Yes,92.3,6.2,Good,0,Bachelor,Poor,6,No,82.1,0.6122448979591836,1.2653061224489794,0.0
S1069,22,Male,6.8,3.7,1.8,No,72.3,7.5,Poor,6,Master,Average,5,No,100.0,0.8088235294117647,1.1029411764705883,0.8823529411764706
S1070,18,Female,2.7,1.7,1.3,No,95.5,6.1,Poor,2,Bachelor,Good,2,Yes,59.7,1.111111111111111,2.259259259259259,0.7407407407407407
S1071,18,Female,1.4,3.4,0.0,No,89.9,4.6,Fair,0,High School,Poor,10,Yes,55.1,2.428571428571429,3.2857142857142856,0.0
S1072,17,Male,3.4,0.1,0.6,No,77.7,7.9,Fair,1,High School,Average,4,Yes,77.1,0.20588235294117646,2.323529411764706,0.29411764705882354
S1073,18,Female,7.4,3.6,3.9,No,83.6,5.5,Fair,3,High School,Average,7,Yes,97.7,1.0135135135135134,0.7432432432432432,0.4054054054054054
S1074,21,Female,2.3,1.0,0.4,No,100.0,6.4,Fair,6,,Good,1,No,66.9,0.6086956521739131,2.7826086956521743,2.608695652173913
S1075,18,Female,6.0,3.4,2.0,Yes,92.3,7.0,Fair,0,Bachelor,Good,9,Yes,99.9,0.9,1.1666666666666667,0.0
S1076,20,Male,6.0,2.5,2.9,No,85.1,6.7,Poor,5,Bachelor,Average,10,Yes,100.0,0.9,1.1166666666666667,0.8333333333333334
S1077,20,Female,2.7,1.4,0.4,No,82.6,7.8,Fair,1,Bachelor,Poor,1,No,57.2,0.6666666666666665,2.888888888888889,0.37037037037037035
S1078,23,Female,4.4,2.0,2.0,Yes,85.8,7.1,Good,4,Master,Good,5,No,77.3,0.9090909090909091,1.6136363636363635,0.9090909090909091
S1079,20,Male,5.9,3.3,2.8,Yes,79.9,5.5,Good,3,Master,Average,7,No,91.6,1.0338983050847457,0.9322033898305084,0.5084745762711864
S1080,23,Male,2.9,2.6,1.8,No,64.0,9.1,Good,6,High School,Good,8,No,70.7,1.517241379310345,3.1379310344827585,2.0689655172413794
S1081,20,Other,3.2,3.2,5.0,No,100.0,6.7,Good,5,High School,Poor,2,No,57.6,2.5624999999999996,2.09375,1.5625
S1082,21,Female,2.6,4.9,0.0,Yes,86.6,6.3,Fair,6,High School,Poor,4,No,60.2,1.8846153846153846,2.423076923076923,2.3076923076923075
S1083,24,Male,2.0,0.6,3.0,No,89.0,7.7,Poor,6,High School,Good,2,Yes,50.5,1.8,3.85,3.0
S1084,23,Female,2.5,4.4,1.6,No,84.4,6.8,Fair,5,Bachelor,Average,4,No,51.3,2.4,2.7199999999999998,2.0
S1085,19,Male,1.7,2.6,2.6,No,77.6,7.0,Good,4,Bachelor,Good,6,No,53.5,3.058823529411765,4.11764705882353,2.3529411764705883
S1086,22,Male,3.6,1.4,2.3,No,83.1,9.5,Good,5,Bachelor,Poor,6,No,79.2,1.0277777777777777,2.638888888888889,1.3888888888888888
S1087,17,Male,2.3,0.9,1.0,No,69.0,6.2,Fair,1,Master,Average,2,Yes,47.2,0.8260869565217391,2.695652173913044,0.4347826086956522
S1088,20,Male,3.9,2.3,2.1,No,100.0,6.1,Poor,6,Bachelor,Good,4,No,73.4,1.1282051282051284,1.564102564102564,1.5384615384615385
S1089,18,Male,1.2,3.6,0.0,No,72.7,6.6,Poor,4,High School,Average,4,Yes,41.1,3.0,5.5,3.3333333333333335
S1090,24,Male,4.0,2.3,2.5,No,74.7,7.8,Fair,6,Bachelor,Good,1,No,77.8,1.2,1.95,1.5
S1091,20,Female,4.8,4.3,2.1,No,80.6,4.7,Fair,5,High School,Average,2,No,63.4,1.3333333333333335,0.9791666666666667,1.0416666666666667
S1092,18,Male,0.5,0.8,2.5,Yes,97.9,4.1,Poor,4,High School,Good,3,No,43.9,6.6,8.2,8.0
S1093,22,Male,4.1,2.5,3.0,No,85.1,5.8,Good,4,,Good,5,No,70.2,1.3414634146341464,1.4146341463414636,0.9756097560975611
S1094,22,Female,5.3,1.0,2.2,No,72.6,4.5,Fair,0,High School,Average,8,No,81.3,0.6037735849056605,0.8490566037735849,0.0
S1095,22,Male,1.7,2.9,2.0,No,97.5,6.0,Good,0,High School,Good,6,No,50.2,2.882352941176471,3.5294117647058822,0.0
S1096,18,Female,6.0,3.6,0.8,No,92.3,7.1,Good,0,High School,Good,3,No,87.9,0.7333333333333334,1.1833333333333333,0.0
S1097,20,Male,4.1,2.0,1.0,No,90.4,5.4,Good,5,Bachelor,Average,6,No,80.9,0.7317073170731708,1.3170731707317076,1.2195121951219514
S1098,22,Male,2.4,0.0,3.1,No,92.2,4.8,Good,3,Bachelor,Good,7,Yes,63.9,1.2916666666666667,2.0,1.25
S1099,21,Male,3.4,2.7,3.4,No,100.0,6.6,Good,1,High School,Good,6,No,65.6,1.7941176470588234,1.9411764705882353,0.29411764705882354
S1100,23,Male,4.3,3.0,1.5,No,100.0,7.5,Good,5,,Average,10,Yes,93.2,1.0465116279069768,1.744186046511628,1.1627906976744187
S1101,18,Male,3.6,3.0,1.9,No,78.1,4.5,Good,6,Bachelor,Average,6,No,74.0,1.3611111111111112,1.25,1.6666666666666665
S1102,18,Male,4.3,4.0,0.8,No,100.0,7.5,Fair,0,,Average,1,No,60.8,1.1162790697674418,1.744186046511628,0.0
S1103,20,Male,2.1,1.2,3.1,No,88.8,7.5,Good,4,Master,Average,3,No,50.4,2.0476190476190474,3.571428571428571,1.9047619047619047
S1104,18,Male,3.8,3.3,2.5,No,90.0,7.6,Good,5,Bachelor,Good,7,No,74.3,1.5263157894736843,2.0,1.3157894736842106
S1105,18,Male,1.4,3.9,3.9,Yes,68.1,8.0,Good,4,High School,Average,4,Yes,32.8,5.571428571428572,5.714285714285714,2.857142857142857
S1106,22,Male,3.3,0.4,0.8,No,83.3,9.1,Good,6,High School,Good,4,Yes,82.3,0.3636363636363637,2.757575757575758,1.8181818181818183
S1107,20,Male,2.1,2.9,1.4,No,76.9,6.1,Fair,4,,Average,7,No,60.4,2.0476190476190474,2.9047619047619047,1.9047619047619047
S1108,22,Female,2.4,1.9,2.1,No,93.3,6.6,Poor,4,High School,Average,9,Yes,60.0,1.6666666666666667,2.75,1.6666666666666667
S1109,23,Female,5.4,2.4,2.5,No,95.7,6.0,Fair,2,High School,Good,2,No,77.5,0.9074074074074074,1.111111111111111,0.37037037037037035
S1110,24,Male,5.1,2.9,1.6,No,64.3,6.5,Fair,3,Bachelor,Average,9,Yes,86.5,0.8823529411764707,1.2745098039215688,0.5882352941176471
S1111,23,Female,4.4,1.9,0.8,No,84.8,8.3,Good,1,High School,Average,3,No,76.9,0.6136363636363636,1.8863636363636365,0.22727272727272727
S1112,24,Female,1.9,1.7,2.8,No,96.2,4.9,Fair,1,Bachelor,Poor,6,Yes,43.9,2.368421052631579,2.578947368421053,0.5263157894736842
S1113,22,Male,3.0,2.5,2.6,No,83.1,5.5,Fair,0,Bachelor,Average,4,No,51.3,1.7,1.8333333333333333,0.0
S1114,23,Female,5.3,1.2,0.8,No,92.3,8.2,Fair,2,High School,Average,1,No,83.3,0.37735849056603776,1.5471698113207546,0.37735849056603776
S1115,20,Female,3.7,1.2,3.3,No,88.5,7.7,Poor,5,,Good,9,No,82.7,1.2162162162162162,2.081081081081081,1.3513513513513513
S1116,17,Male,7.0,3.3,3.1,No,88.4,6.1,Good,5,,Average,6,Yes,94.8,0.9142857142857144,0.8714285714285713,0.7142857142857143
S1117,22,Male,4.1,1.1,1.9,No,82.3,7.5,Good,1,,Good,8,No,80.8,0.7317073170731708,1.829268292682927,0.24390243902439027
S1118,24,Female,3.8,3.3,1.9,No,72.8,6.9,Poor,3,Bachelor,Good,2,Yes,58.3,1.3684210526315788,1.8157894736842106,0.7894736842105263
S1119,21,Female,3.0,3.1,2.4,Yes,73.8,8.3,Fair,4,High School,Average,7,No,66.3,1.8333333333333333,2.766666666666667,1.3333333333333333
S1120,24,Male,3.7,0.4,0.9,No,92.1,6.6,Fair,6,Bachelor,Average,6,No,87.9,0.35135135135135137,1.7837837837837835,1.6216216216216215
S1121,21,Male,3.3,1.7,1.8,No,85.2,7.7,Poor,0,High School,Good,2,No,60.5,1.0606060606060606,2.3333333333333335,0.0
S1122,18,Male,4.6,3.9,0.0,No,83.6,9.7,Poor,3,High School,Good,2,No,84.8,0.8478260869565218,2.108695652173913,0.6521739130434783
S1123,23,Female,4.9,1.3,2.8,No,80.8,7.2,Good,1,Bachelor,Average,4,No,77.0,0.8367346938775508,1.4693877551020407,0.2040816326530612
S1124,21,Female,2.3,1.9,0.1,No,81.9,6.6,Fair,2,Bachelor,Average,4,No,61.7,0.8695652173913044,2.869565217391304,0.8695652173913044
S1125,24,Male,1.5,3.1,3.5,No,95.5,7.4,Fair,0,High School,Average,3,No,44.0,4.3999999999999995,4.933333333333334,0.0
S1126,18,Male,0.7,3.4,1.4,Yes,81.6,6.1,Poor,1,High School,Poor,8,No,42.4,6.857142857142858,8.714285714285714,1.4285714285714286
S1127,17,Female,4.3,2.2,1.6,No,71.6,9.4,Good,5,Bachelor,Good,7,No,88.0,0.8837209302325583,2.1860465116279073,1.1627906976744187
S1128,20,Male,1.8,1.8,1.1,No,92.4,6.7,Good,0,High School,Good,2,No,48.7,1.6111111111111112,3.7222222222222223,0.0
S1129,20,Male,0.3,4.2,1.5,No,83.0,6.2,Good,1,High School,Average,3,Yes,26.8,19.0,20.666666666666668,3.3333333333333335
S1130,20,Female,4.1,4.6,3.4,No,85.3,5.5,Poor,5,Bachelor,Good,10,No,81.6,1.9512195121951221,1.3414634146341464,1.2195121951219514
S1131,21,Female,7.2,3.7,0.0,No,100.0,7.8,Good,6,High School,Good,9,No,100.0,0.513888888888889,1.0833333333333333,0.8333333333333333
S1132,17,Female,3.5,2.6,3.2,Yes,84.8,7.5,Fair,5,Bachelor,Average,5,Yes,74.0,1.6571428571428573,2.142857142857143,1.4285714285714286
S1133,21,Female,4.8,1.5,2.2,No,87.9,5.9,Fair,4,Bachelor,Poor,2,Yes,78.4,0.7708333333333334,1.2291666666666667,0.8333333333333334
S1134,23,Male,3.6,1.5,0.5,No,73.2,7.2,Fair,2,Bachelor,Good,3,No,70.7,0.5555555555555556,2.0,0.5555555555555556
S1135,21,Male,3.4,3.1,0.6,No,82.8,4.7,Fair,4,Bachelor,Good,8,No,74.3,1.0882352941176472,1.3823529411764708,1.1764705882352942
S1136,17,Female,4.9,3.0,3.6,No,91.1,6.7,Good,1,Bachelor,Good,4,No,67.6,1.3469387755102038,1.3673469387755102,0.2040816326530612
S1137,17,Male,3.1,4.2,0.8,No,69.4,7.0,Good,6,Bachelor,Poor,2,No,64.7,1.6129032258064515,2.258064516129032,1.9354838709677418
S1138,23,Male,3.9,3.3,0.5,No,87.0,8.5,Fair,3,Master,Average,2,No,64.1,0.9743589743589743,2.1794871794871797,0.7692307692307693
S1139,17,Male,4.0,0.7,3.1,No,86.0,5.6,Good,6,High School,Poor,6,No,83.5,0.95,1.4,1.5
S1140,24,Male,2.5,3.8,2.2,No,85.4,5.0,Good,6,High School,Good,8,No,63.4,2.4,2.0,2.4
S1141,17,Male,5.0,1.3,0.8,No,95.4,5.4,Good,6,Bachelor,Good,7,No,96.2,0.42000000000000004,1.08,1.2
S1142,20,Male,3.2,2.0,2.0,No,88.3,4.9,Fair,4,Bachelor,Poor,4,Yes,65.4,1.25,1.53125,1.25
S1143,24,Male,2.4,2.8,0.7,No,99.8,8.1,Fair,3,,Good,2,No,62.0,1.4583333333333335,3.375,1.25
S1144,24,Male,4.3,4.9,3.0,No,75.1,8.4,Fair,5,Master,Good,9,Yes,74.0,1.8372093023255816,1.9534883720930234,1.1627906976744187
S1145,23,Female,2.2,6.2,3.0,No,86.4,6.9,Good,1,,Good,4,No,46.7,4.181818181818181,3.1363636363636362,0.45454545454545453
S1146,19,Female,3.5,3.2,2.4,No,85.8,8.0,Poor,2,Bachelor,Good,9,No,75.5,1.5999999999999999,2.2857142857142856,0.5714285714285714
S1147,19,Female,3.5,2.3,2.2,No,74.3,6.7,Fair,3,Bachelor,Poor,5,Yes,78.1,1.2857142857142858,1.9142857142857144,0.8571428571428571
S1148,17,Female,5.1,3.1,3.7,No,94.6,6.4,Fair,1,Master,Good,7,No,85.2,1.3333333333333335,1.254901960784314,0.19607843137254904
S1149,24,Female,4.2,3.6,1.8,Yes,100.0,6.1,Fair,3,,Poor,5,No,75.4,1.2857142857142858,1.4523809523809523,0.7142857142857143
S1150,19,Male,3.5,2.1,0.5,Yes,84.8,6.1,Good,4,Bachelor,Average,2,No,64.2,0.7428571428571429,1.7428571428571427,1.1428571428571428
S1151,19,Female,4.7,4.7,2.3,No,90.1,4.6,Good,1,High School,Good,6,No,69.7,1.4893617021276595,0.978723404255319,0.2127659574468085
S1152,17,Female,5.6,2.8,4.1,No,85.8,6.8,Good,4,High School,Good,7,No,90.3,1.2321428571428572,1.2142857142857144,0.7142857142857143
S1153,19,Female,4.3,3.1,0.7,No,77.9,6.5,Good,0,,Average,6,No,81.4,0.8837209302325582,1.5116279069767442,0.0
S1154,21,Male,3.5,3.3,1.4,No,66.8,7.4,Fair,1,Bachelor,Good,3,No,65.0,1.3428571428571427,2.1142857142857143,0.2857142857142857
S1155,18,Male,1.5,3.0,2.3,No,77.9,6.6,Fair,3,High School,Good,10,No,57.3,3.533333333333333,4.3999999999999995,2.0
S1156,23,Male,1.9,3.5,1.7,Yes,71.1,6.3,Fair,0,High School,Good,8,No,57.7,2.736842105263158,3.3157894736842106,0.0
S1157,18,Male,3.0,1.8,0.7,No,100.0,5.5,Poor,4,Bachelor,Poor,3,No,56.7,0.8333333333333334,1.8333333333333333,1.3333333333333333
S1158,17,Female,2.6,1.8,3.0,No,83.8,6.6,Fair,4,Bachelor,Good,5,Yes,62.3,1.846153846153846,2.5384615384615383,1.5384615384615383
S1159,20,Female,3.2,1.2,4.4,No,81.5,7.4,Good,3,Bachelor,Average,9,No,77.9,1.75,2.3125,0.9375
S1160,23,Male,3.6,3.0,2.0,No,93.9,5.1,Fair,0,Master,Average,5,No,65.2,1.3888888888888888,1.4166666666666665,0.0
S1161,17,Other,4.3,3.4,0.8,No,73.8,6.6,Good,6,High School,Average,7,No,76.8,0.9767441860465117,1.5348837209302326,1.3953488372093024
S1162,24,Female,3.4,3.0,0.1,No,77.3,6.8,Fair,5,Master,Average,7,No,83.8,0.911764705882353,2.0,1.4705882352941178
S1163,20,Male,4.2,4.5,2.1,No,85.7,5.6,Poor,2,Master,Good,5,No,70.6,1.5714285714285712,1.3333333333333333,0.47619047619047616
S1164,18,Male,3.6,2.5,3.0,No,95.3,5.8,Poor,3,High School,Average,2,Yes,63.1,1.5277777777777777,1.611111111111111,0.8333333333333333
S1165,17,Male,0.5,3.3,2.3,No,90.0,6.8,Fair,4,High School,Good,5,No,39.0,11.2,13.6,8.0
S1166,24,Male,2.1,1.2,1.8,No,87.5,5.1,Fair,1,High School,Average,7,No,66.7,1.4285714285714286,2.4285714285714284,0.47619047619047616
S1167,23,Male,3.3,2.0,1.2,Yes,85.8,6.9,Poor,0,High School,Good,7,No,72.2,0.9696969696969698,2.0909090909090913,0.0
S1168,23,Male,1.7,3.3,0.6,No,89.0,5.4,Fair,5,Bachelor,Good,4,Yes,50.1,2.2941176470588234,3.1764705882352944,2.9411764705882355
S1169,22,Male,4.4,3.5,2.7,Yes,87.0,7.8,Fair,2,Bachelor,Good,1,No,62.4,1.409090909090909,1.7727272727272725,0.45454545454545453
S1170,24,Male,5.8,2.1,2.8,No,74.7,9.3,Fair,1,Bachelor,Good,6,No,96.6,0.8448275862068967,1.6034482758620692,0.1724137931034483
S1171,21,Female,5.3,2.4,0.1,No,85.5,5.5,Good,0,Bachelor,Good,3,Yes,85.8,0.4716981132075472,1.0377358490566038,0.0
S1172,19,Male,3.2,0.7,3.5,No,74.3,7.1,Good,5,High School,Good,5,No,68.3,1.3125,2.2187499999999996,1.5625
S1173,20,Female,5.7,2.1,2.4,No,85.8,5.6,Fair,3,Master,Good,4,Yes,83.8,0.7894736842105263,0.9824561403508771,0.5263157894736842
S1174,24,Male,3.7,3.6,3.3,Yes,80.2,7.7,Good,5,High School,Poor,2,No,69.3,1.864864864864865,2.081081081081081,1.3513513513513513
S1175,22,Other,3.0,3.2,0.3,No,100.0,5.0,Good,3,Master,Good,7,No,65.3,1.1666666666666667,1.6666666666666667,1.0
S1176,19,Male,2.6,3.1,0.3,No,84.6,7.1,Good,6,High School,Average,5,Yes,77.5,1.3076923076923077,2.7307692307692304,2.3076923076923075
S1177,19,Male,3.0,2.6,1.6,No,71.0,5.5,Fair,0,Master,Average,7,Yes,55.0,1.4000000000000001,1.8333333333333333,0.0
S1178,17,Other,2.9,2.5,2.4,Yes,83.7,6.3,Poor,5,,Good,9,No,65.2,1.6896551724137934,2.1724137931034484,1.7241379310344829
S1179,19,Female,3.8,1.7,3.8,No,90.2,5.3,Good,2,High School,Average,4,No,58.1,1.4473684210526316,1.3947368421052633,0.5263157894736842
S1180,21,Female,3.7,3.3,2.6,Yes,100.0,7.5,Fair,5,,Good,5,No,69.2,1.5945945945945945,2.0270270270270268,1.3513513513513513
